PlateSequenceName,WellId,ChemistryId,mean_value,std_value,cv_value,n_reps,outlier_count,units
20251114-T5,R24_A01,Glucose,3.21476609783128,0.07890653833070713,0.020040935109813467,3,0,g/L
20251114-T5,R24_A01,Glutamate,10.68951547071055,0.21859547388185996,0.014459995155259874,2,0,mmol/L
20251114-T5,R24_A01,Glutamine,3.049169006714295,0.009644061171725633,0.0022364719822642637,2,0,mmol/L
20251114-T5,R24_A01,Lactate,2.6422544403426467,0.06302609610820416,0.019476016842230215,3,0,g/L
20251114-T5,R24_A02,Glucose,2.3990207317358934,0.043596853356363686,0.014838005038381305,3,0,g/L
20251114-T5,R24_A02,Glutamate,8.41917717818062,0.004026558079252296,0.00033818109090989084,2,0,mmol/L
20251114-T5,R24_A02,Glutamine,1.52688028994874,0.03630706805899929,0.016814005785864092,2,0,mmol/L
20251114-T5,R24_A02,Lactate,2.02120592859143,0.03778324795115425,0.015263112151051946,3,0,g/L
20251114-T5,R24_A03,Glucose,2.4212090997464597,0.7902232537040639,0.26648445393936254,3,0,g/L
20251114-T5,R24_A03,Glutamate,10.2792487986164,0.15742065499755623,0.010828924839583887,2,0,mmol/L
20251114-T5,R24_A03,Glutamine,2.7539254361004053,0.1140940543095301,0.02929515753686276,2,0,mmol/L
20251114-T5,R24_A03,Lactate,2.2562002513221633,0.6929798203989318,0.2507825507403707,3,0,g/L
20251114-T5,R24_A04,Glucose,2.99904634349525,0.08319701020730254,0.019615958992973533,2,0,g/L
20251114-T5,R24_A04,Glutamate,9.921861679690469,0.1164426998340568,0.008298586024523118,2,0,mmol/L
20251114-T5,R24_A04,Glutamine,3.27252483311522,0.02651634927650834,0.005729487579741702,2,0,mmol/L
20251114-T5,R24_A04,Lactate,2.269390312951875,0.08026881185256379,0.025010515315413973,2,0,g/L
20251114-T5,R24_A05,Glucose,3.05666441508319,0.004124650196616488,0.0009541669375473683,2,0,g/L
20251114-T5,R24_A05,Glutamate,9.62264061712041,0.11622850093381787,0.008540894796717853,2,0,mmol/L
20251114-T5,R24_A05,Glutamine,2.708409284314765,0.04865251190526922,0.012702113114591143,2,0,mmol/L
20251114-T5,R24_A05,Lactate,2.3949929758838797,0.044622791562843135,0.013174601690810958,2,0,g/L
20251114-T5,R24_A06,Glucose,4.267221603274913,2.094555852436493,0.4007754579148294,3,0,g/L
20251114-T5,R24_A06,Glutamate,9.885844170182594,0.448439824912455,0.032075646317197386,2,0,mmol/L
20251114-T5,R24_A06,Glutamine,2.71797368033106,0.0312704599658853,0.008135308466271342,2,0,mmol/L
20251114-T5,R24_A06,Lactate,3.464390588405573,1.6087845876382327,0.3791625342858311,3,0,g/L
20251114-T5,R24_A07,Glucose,3.9639915865382798,0.07591282762598556,0.013541520969840612,2,0,g/L
20251114-T5,R24_A07,Glutamate,9.8208083122691,0.08750830602548683,0.006300674510006084,2,0,mmol/L
20251114-T5,R24_A07,Glutamine,2.64609825468096,0.01821274711738706,0.004866923202098846,2,0,mmol/L
20251114-T5,R24_A07,Lactate,2.53180215336932,0.08363590554967106,0.023358664059175083,2,0,g/L
